STT,Tên sách,Tác giả,Số phần tri thức,Số ý tưởng,Vì sao hỏng,Link mở sách,ID
1,Bắt Đầu Với Câu Hỏi TẠI SAO,Simon Sinek,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/3a0da6b5-27ec-4421-9a15-af1f90635ebc,3a0da6b5-27ec-4421-9a15-af1f90635ebc
2,Goethe zertifikat b1,Goethe,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/d727375a-2624-49a2-ba6e-0d49855df9aa,d727375a-2624-49a2-ba6e-0d49855df9aa
3,Kế Hoạch Kinh Doanh Trong 1 Giờ,John McAdam,0,0,"thiếu phần tri thức (0, cần ≥3) · thiếu ý tưởng (0, cần ≥2)",https://10kbook.giauco.vn/#/book/e8cd96d3-bc75-47a0-b608-15aeb592cbea,e8cd96d3-bc75-47a0-b608-15aeb592cbea
4,Mật Mã Văn Hóa: Bí Mật Của Các Nhóm Thành Công Vượt Trội,Daniel Coyle,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/6e1205d5-e4b5-48d0-ace1-0a576ff02cff,6e1205d5-e4b5-48d0-ace1-0a576ff02cff
5,Phép Lạ Của Sự Tỉnh Thức,Thích Nhất Hạnh,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/68806790-9ffd-4bce-8bf0-280eb0648b3e,68806790-9ffd-4bce-8bf0-280eb0648b3e
6,QUYỀN LỰC LÃNH ĐẠO,Tenko,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/6ccec44b-3cd3-4899-9f6a-6a5990caf799,6ccec44b-3cd3-4899-9f6a-6a5990caf799
7,Quân Vương,Niccolò Machiavelli,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/a46c22c7-710c-41e0-82ce-02bbfec4eb81,a46c22c7-710c-41e0-82ce-02bbfec4eb81
8,Rich Habits - Poor Habits - Sự Khác Biệt Giữa Người Giàu Và Người Nghèo,"Tom Corley, Michael Yardney",0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/fcf6cee8-1301-4f65-ad2c-00f4edf7e20d,fcf6cee8-1301-4f65-ad2c-00f4edf7e20d
9,Sapiens: Lược Sử Loài Người,Yuval Noah Harari,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/fe4a1fd6-cacf-4f10-9094-9295408cb481,fe4a1fd6-cacf-4f10-9094-9295408cb481
10,Sách Siêu Cò - How To Be A Power Connector,Judy Robinett,0,0,"thiếu phần tri thức (0, cần ≥3) · thiếu ý tưởng (0, cần ≥2) · thiếu câu tóm ý",https://10kbook.giauco.vn/#/book/792f278d-5241-4ce4-a6ff-b7be29617f61,792f278d-5241-4ce4-a6ff-b7be29617f61
11,Sống trong thế giới đàn ông,,0,0,Trắng hoàn toàn — không có nội dung phân tích,https://10kbook.giauco.vn/#/book/ae8818b9-d2cc-45d6-b3b9-2563f2989e47,ae8818b9-d2cc-45d6-b3b9-2563f2989e47
